Accession;T1-02B001;T2-02B001;T3-02B001;T4-02B001;T5-02B001;T6-02B001;T7-02B001;T8-02B001;T1-02B002;T2-02B002;T3-02B002;T4-02B002;T1-02B004;T2-02B004;T3-02B004;T4-02B004;T5-02B004;T6-02B004;T7-02B004;T8-02B004;T1-02B006;T2-02B006;T3-02B006;T4-02B006;T5-02B006;T6-02B006;T7-02B006;T1-02B007;T2-02B007;T3-02B007;T4-02B007;T5-02B007;T6-02B007;T1-02B008;T2-02B008;T4-02B008;T6-02B008;T7-02B008;T1-02B009;T2-02B009;T3-02B009;T4-02B009;T5-02B009;T6-02B009;T7-02B009;T8-02B009;T1-02B010;T2-02B010;T3-02B010;T4-02B010;T5-02B010;T6-02B010;T7-02B010;T8-02B010;T1-02A001;T2-02A001;T3-02A001;T4-02A001;T5-02A001;T6-02A001;T7-02A001;T1-02A015;T2-02A015;T3-02A015;T4-02A015;T5-02A015;T6-02A015;T7-02A015;T1-02A020;T2-02A020;T3-02A020;T4-02A020;T5-02A020;T6-02A020;T7-02A020;T1-02A021;T2-02A021;T3-02A021;T4-02A021;T5-02A021;T6-02A021;T7-02A021;T2-02A022;T3-02A022;T4-02A022;T5-02A022;T6-02A022;T7-02A022;T1-02A023;T2-02A023;T3-02A023;T4-02A023;T5-02A023;T6-02A023;T1-02A025;T2-02A025;T3-02A025;T4-02A025;T5-02A025;T6-02A025;T7-02A025;T1-02A029;T2-02A029;T3-02A029;T4-02A029;T5-02A029;T6-02A029;T7-02A029
A0A024R442;54,27966917;51,22138873;54,27966917;85,19175892;63,85843431;77,61486675;133,9666667;149,3666667;145,7;283,1;70,4;94,6;122,7666667;191,1666667;85,88413316;149,3666667;83,7;82,02723822;83,7;149,3666667;83,40028852;93,10133637;82,85287555;86,61387808;138,8;82,00008697;43,62269303;54,27966917;94,07134071;94,07134071;96,26383764;80,43960779;94,90774908;42,55490245;98,28079205;26,04755179;149,3666667;180,0666667;122,6;108,5;137,2;94,5;128,4;162,5;153,2;86,2;163,9;108,5;151;97,5;118,5;203,3;121,9;101,5;149,3666667;61,94389699;150,6;125,2499219;131,9138781;131,9138781;100,4712025;56,75276753;114,5387454;69,44649446;87,67527675;90,92250923;103,6162362;100,7380074;49,16330063;81,93883439;68,37853433;72,24466244;36,12233122;64,85862666;58,33814195;30,79096045;21,36299435;33,47457627;23,16384181;21,50423729;32,62711864;37,42937853;56,7983925;131,9138781;56,7983925;127,5796115;126,6190891;150,6;60,70038911;85,60311284;94,94163424;89,7535668;102,0103761;57,06874189;56,32953784;74,94976557;88,14467515;75,15070328;50,56932351;101,6075017;44,87608841;129;148,0832552;129,2002885;147,8842928;150,8832552;180,0666667;174,1741104
A0A024R4M0;73,44118638;106,7408156;21,5;16,33333333;66,03333333;3,6;3,6;46,26666667;550;69,7;27,1;42;471,8;38;124,1;0,1;5;5;0,8;9,7;177,8;43,8;26,7;6,6;140,2;14,1;25,4;289;103,4;94,7;15,3;48,4;64,3;158,4836535;55,7;39,86078431;42,66666667;51,56666667;111,9855269;57,6;62,3;15,93333333;51,15143603;69,87981211;28,32207717;24,45753286;319,1;87,2;94,3;41,8;104,4;79,7;81,8;115,7;46,26666667;162,3308943;45,6;47,8;45,6;45,6;47,8;368,2926829;19,91869919;63,00813008;108,5365854;172,2222222;255,8265583;109,8915989;133,7714863;27,80586451;105,2578362;22,34580384;81,19312437;31,64812942;33,87259858;593,557423;99,15966387;38,0952381;55,88235294;70,44817927;137,1148459;63,16526611;74,34672094;53,1;93,53233831;40,93528817;46,26666667;47,8;181,5491732;14,79547433;22,45430809;29,32985205;17,84160139;18,71192341;205,5630936;95,79375848;151,1533243;99,05020353;101,3568521;120,624152;83,44640434;338,9403974;175,8940397;165,4304636;133,3774834;89,00662252;141,589404;116,8211921
A0A024R571;22,16666667;33,71884058;30,2;27,56666667;36,06666667;6,366666667;7,7;84,06666667;266,6;200,3;14,8;37,1;152,5;86,7;92,4;140,1;6,5;9,5;3,1;12,1;115,4;50,1;34,8;17,5;35,1;23;19,9;243,6;95;85;50,4;77,6;64,6;12,3;35;19,2;19,5;25,4;33,2;33,6;17,3;11,4;18,7;7,1;13,2;16,8;12,2;26,3;20,7;78,9;36,9;21;17,8;18,2;375,2941176;282,3529412;111,2941176;111,2941176;118,4705882;155,4117647;57,29411765;195,1536643;43,8534279;56,1465721;62,41134752;76,95035461;85,46099291;42,90780142;124,4565217;33,04347826;46,95652174;33,91304348;43,36956522;32,06521739;27,7173913;194,7556615;59,71394517;46,84147795;41,35876043;45,05363528;57,09177592;65,79261025;28,09446254;18,56677524;25,73289902;22,63843648;39,49511401;36,40065147;154,3040293;33,6996337;38,0952381;23,99267399;22,61904762;20,23809524;103,9419087;24,17012448;56,74273859;42,53112033;33,19502075;44,50207469;26,76348548;166,9362084;19,58670261;35,30997305;22,46181491;27,67295597;31,44654088;26,9541779
A0A075B6H7;107,8193146;93,29289446;71,33483315;102,8549373;121,4473191;98,4412596;154,5369329;258,7390762;129,504225;94,56728385;146,5001248;80,33333333;206,866417;266,7915106;209,9250936;101,9;133,6448598;97,97401143;109,9333333;101,9;87,07165109;114,9246969;135,1186352;189,6156854;90,96666667;200,2397651;34,07690673;71,33483315;94,91559894;94,91559894;102,697051;88,7634283;104,1692089;55,64385714;62,64078252;34,07690673;34,07690673;157,748814;87,07165109;140,7001248;99,43568568;127,8415206;171,6686642;143,6175189;208,2780708;104,4244469;63,5;79,8;73,4;102,6;105,3;97,2;70,4;130;75,2749399;75,14370631;91,06666667;99,03537415;146,5001248;146,5001248;79,8343119;62,4771202;108,2977425;69,73764491;92,49542404;79,25564369;112,9957291;134,4722392;46,1192351;144,9943757;45,72553431;209,336333;76,20922385;226,5466817;92,06974128;43,40344168;48,43849586;28,7444232;44,99681326;28,48948375;52,26258764;31,73996176;95,70093458;126,0747664;157,9439252;180,0934579;70,74766355;94,76635514;117,2284644;195,505618;239,7003745;263,670412;272,8464419;287,8277154;98,69387755;97,30612245;125,7959184;138,0408163;94,53061224;113,4693878;127,9183673;54,37788018;115,2841782;118,8172043;73,96313364;95,39170507;44,08602151;148,3102919
A0A075B6H8;86,3;74,2;93;79,7;127,4;231,6;239;132,4;124,4187921;117,4667287;87,6133783;84,7;67,22878021;203,6;194,5;98,9;98,9;118,4326149;95,1;186,6333333;81,5;144,6;63,4;112,1;364,7;131,8;101,5;46,8;58,5;83,9;77,3;85,9;105;40,56906706;73,9;105,0559031;98,62490163;185,2;117,215791;112,9333333;104,8;107,8666667;116,5657102;124,7455115;112,3516118;104,6164563;92;120,4;125,4;73,8;296,8;90,9;134,5;148,5;39,46037099;24,28330523;95,36256324;73,44013491;98,98819562;78,4148398;104,9747049;57,58591785;74,3503772;80,72087175;56,99916178;57,08298407;67,72841576;108,8013412;27,24573125;58,57461024;31,32887899;105,7906459;43,5783222;152,7839644;80,54936897;46,82139253;138,8496468;141,271443;151,9677094;58,12310797;81,73562059;130,9788093;147,1059662;132,7693678;114,3365984;148,4416741;93,94479074;110,5966162;86,07863974;86,07863974;84,69713071;84,37832094;91,81721573;107,7577046;154,1866029;140,0717703;143,4210526;148,0861244;152,9904306;172,9665072;184,8086124;90,72847682;92,45033113;101,7218543;91,52317881;104,3708609;97,35099338;131,1258278
A0A075B6H9;250,3401361;250,3401361;40,66666667;69,6713644;51,45049598;52,40501591;132,9;53,58412877;196,8901846;21,19656963;58,61246491;40,26666667;43,27157028;49,59760434;43,27157028;9,1;198,2567541;218,6588921;17,16666667;9,1;196,8901846;16,97054698;140,5666667;69,6713644;104,1666667;69,6713644;168,9764706;5,7;10,6;9,9;96,1;15,3;287,3;29,52492981;40,66666667;78,30980392;114,6791316;132,9;196,8901846;20,3;13,7;58,61246491;10,66666667;112,7124649;29,71246491;140,5666667;4,5;6,7;4,2;38,3;15,9;9,4;7,6;3,8;44,9747333;22,45929253;93,31836047;41,43739472;35,87871982;71,47669848;41,43739472;25,03506311;13,25385694;13,60448808;24,4740533;30,29453015;17,95231417;19,70546985;43,9116877;48,97913157;40,43333333;40,7713644;76,50980392;47,93333333;40,26666667;86,80445151;131,0015898;106,200318;123,5294118;66,93163752;78,85532591;154,8489666;239,6501458;211,3702624;400;263,2653061;169,6793003;181,3411079;42,65309751;84,18469658;58,99223283;48,97913157;40,26666667;50,94579824;40,43333333;50,94579824;40,26666667;50,94579824;141,5666667;59,65826315;254,3931858;40,43333333;160,9582631;32,72492981;269,776482;75,47223167;30,75826315;22,21246491
A0A075B6I0;58,13333333;70,87595858;82,37741394;57,66291391;94,29051217;41,58940397;95,31270641;140,0471143;136,5727316;75,05878713;67,54260486;71,13333333;40,08830022;42,00883002;121,7903416;106,6;114,2;148,0223205;91,73333333;106,6;124,8070175;88,70153775;98,76666667;57,66291391;66,93333333;88,88697572;106,0333333;64,4;44,2;66,7;86,3;43;102,3;16,6;28,3;129,5;38;49,1;124,8070175;94,44475854;77,23333333;102,4793731;111,4276796;144,6304893;144,0205443;79,70892807;85,4;88,7;74;80,5;122;84,1;87,2;110,6;49,93377483;33,17880795;52,64900662;35,82781457;36,22516556;50,86092715;38,94039735;55,55555556;72,73307791;65,90038314;66,66666667;54,02298851;54,34227331;76,75606641;47,35516373;88,91687657;54,82787573;154,4080605;62,80436608;140,6381192;87,40554156;71,53912296;90,1977644;85,03869304;78,67583835;69,8194325;91,74548581;90,36973345;143,2631579;154;140,1052632;140,6315789;97,68421053;133,4736842;95,40636042;131,4487633;114,1342756;150,1766784;155,8303887;182,9210836;132,1204517;135,0062735;157,7164366;169,3851945;161,7314931;149,4353827;176,6624843;86,26666667;157,8000836;48,24825448;125,3178806;114,4439551;52,95607064;79,73333333
A0A075B6I1;250,9838998;228,3918988;210,1984127;257,0897436;221,8253968;236,3461538;284,6031746;469,4871795;341,2939773;244,8675214;304,9206349;130,7489524;154,4102564;674,5080501;192;722,1824687;722,1824687;782,8548002;761,9558736;446,7426953;268,6344663;233,8461538;270,7936508;310,0982906;247,8418803;247,5897436;85,15742129;210,1984127;192;192;192;169,1670319;168,9230769;166,6597059;116,347243;85,15742129;85,15742129;431,9022063;268,6344663;278,9285714;389,9985092;214,2063492;475,2549195;549,8076923;496,1538462;272,9761905;206,2690604;168,518315;210,1984127;168,518315;210,1984127;323,3333333;246,984127;210,1984127;128,6196581;166,1593407;135,9991739;243,0089122;227,320878;215,3336985;305,78669;111,6923077;275,5384615;98,46153846;224,4615385;232,7692308;118,7692308;132,7692308;108,3333333;354,1666667;165,8333333;335,5952381;220,952381;255,8333333;243,8095238;85,75712144;173,4632684;70,0149925;113,1934033;72,26386807;92,20389805;104,4977511;351,3416816;712,3434705;298,3899821;1222,182469;222,5402504;232,0214669;137,0985277;290,7573047;325,7439549;337,3382173;179,874646;452,5641026;213,8461538;450;624,4230769;575;209,0384615;414,0384615;368,6538462;268,6344663;342,5641026;228,3918988;341,2939773;415,8467501;240,1984127;246,984127
A0A075B6I4;606,3333333;1454,566667;389,7188188;270,8840467;2027,966667;574,9503852;2027,966667;254,9049049;995,9839357;618,2458873;529,460241;412,5333333;606,3333333;712,7;769,7;769,7;1454,566667;601,5835112;426,9666667;769,7;633,9927361;641,6058527;283,2;283,2;637,6666667;594,0202064;472,3451794;761,777621;396,4980545;396,4980545;270,8840467;454,3882404;415,7087765;906,3;706,3;206,4;3451;2426,5;1058,13253;546,4666667;1198,091968;215,0742743;645,9333333;757,4546185;1030,62249;226,4076076;408,6;466,7;560,4;172,4;1000,3;470,8;671,1;637,7;289,6536497;215,9769996;283,2;283,2;283,2;283,2;540,7935743;269,1309987;580,155642;460,5706874;433,8521401;406,4850843;349,156939;630,4798962;215,9769996;435,8932987;330,7856463;283,2;342,1189797;658,3759036;283,2;215,9769996;557,0687419;463,2944228;557,0687419;557,0687419;557,0687419;519,9308258;1101,606426;283,2;1101,606426;401,2;540,7935743;283,2;283,2;281,8818819;669,7092369;669,7092369;412,5333333;775,3317269;343,373494;945,1807229;814,7590361;1120,783133;710,8433735;1331,927711;1648,795181;168,4684685;310,6606607;256,4564565;284,8348348;304,3543544;291,8918919;443,6936937
A0A075B6I9;228,6332715;169,917387;170,533099;117,7520063;237,0826011;225,9311263;321,7627417;202,5;81,6;200;86,5;321;150,3759657;188,5550787;156,509299;202,5;252,2217069;282,0952042;202,5;202,5;226,0358689;101,1468853;202,8227885;205,6121109;195,9865261;213,9630044;256,5762279;170,533099;100,5545287;100,5545287;100,5545287;97,25816389;106,685151;103,0577041;112,9846263;285,4509415;202,5;239,0457797;226,0358689;157,7968526;219,2585627;205,6121109;227,8254649;196,6509709;198,9619578;302,2261277;161,1356925;142,7065026;170,533099;103,0577041;170,533099;213,2775379;283,3327475;170,533099;202,5;101,4878813;253,8033395;86,28251792;120,4719575;136,3706707;217,9755466;133,6414048;102,4953789;106,0073937;108,2255083;112,3844732;81,05360444;111,5526802;228,1195079;462,0386643;66,95957821;385,940246;161,1599297;360,8084359;283,4797891;145,8346886;106,685151;96,51879236;106,685151;106,685151;125,0693296;125,0693296;273,8404453;349,1651206;281,6326531;338,5899814;148,9795918;255,2875696;103,8626609;197,4248927;169,527897;272,9613734;196,1373391;316,5236052;109,8381071;110,8343711;108,2191781;281,6936488;248,5678705;158,5305106;273,1008717;145,1598639;194,6450809;142,7065026;153,271321;210,611457;202,5;227,3866432
